"key","plural1","plural2","plural3","plural4","plural5","plural6","value"
"do not remove or edit row above, even though it looks wrong"

"Global.score","Wertung"
"route.fetch.log.update-info.start","Information aktualisieren %message%"
"route.fetch.log.update-info.success","Information aktualisiert %message%"
"route.fetch.log.update-info.error","Fehler beim aktualisieren der Standort Information: %message%"
"route.fetch.log.update-info.skip","Information wird nicht aktualisiert %message% da Sie bereits aktualisiert wurde %lastupdated%"
"route.fetch.log.fetch-statues.start","Status %message%"
"route.fetch.log.fetch-statues.success","%count% hinzugefügt"
"route.fetch.log.fetch-statues.error","Error: %message%"




"route.config.index.page-title","Einstellungen"


"route.index.index.date-range","Datumsbereich"


"badge.engagement.title","Engagement"
"badge.engagement.description","<p>Der Engagement KPI erstellt eine Wertung darüber, wie gut sich ein Standort, ein Land oder eine SBU mit ihrem Publikum beschäftigt. Diese Wertung setzt sich aus folgenden Metriken zusammen:</p><ul><li>Klout Wertung für diesen Standort (nur Twitter).</li><li>Facebook Engagement Wertung für diesen Standort (nur Facebook).</li><li>Sina Weibo Engagement Wertnug für diesen Standort (nur Sina Weibo).</li><li>Instagram Engagement Wertung für diesen Standort (nur Instagram).</li><li>Youtube Engagement Wertung für diesen Standort (nur Youtube).</li><li>Linkedin Engagement Wertung für diesen Standort (nur LinkedIn).</li></ul>"

"badge.reach.title","Reichweite"
"badge.reach.description","<p>Der Reichweite KPI erstellt eine Wertung darüber, wie gut ein Standort, ein Land oder eine SBU sein Publikum erreicht. Diese Wertung setzt sich aus folgenden Metriken zusammen:</p><ul><li>Aktuelle Anzahl der Fans / Follower.</li><li>Anzahl der Monate die benötigt werden um die geplante Anzahl an Fans / Follower zu erreichen.</li><li>Durchschnittliche Anzahl der geteilten Inhalte / Retweets für jeden Post / Tweet.</li></ul>"


"badge.quality.title","Qualität"
"badge.quality.description","<p>Der Qualitäts KPI erstellt eine Wertung über die Qualität der erstellten Posts von den jeweiligen Standorten eines Landes oder einer SBU. Diese Wertung setzt sich aus folgenden Metriken zusammen:</p><ul><li>Durchschnittliche Anzahl an Posts / Tweets pro Tag.</li><li>Durchschnittliche Anzahl an Links pro Tag.</li><li>Durchschnittliche Anzahl an Likes / Retweets pro Post / Tweet / abgespieltem Video.</li><li>Genehmigungsstatus des Standortes.</li><li>Markenstatus des Standortes.</li><li>Anzahl einschlägiger Posts die täglich gemacht werden.</li><li>Die durchschnittlich Reaktionszeit auf Kommentare für diesen Standort.</li></ul>"

"badge.total.title","Insgesamt"
"badge.total.description","<p>Die insgesamte Wertung gibt einen Überblick darüber wie gut ein Social Media Auftritt, ein Land oder eine SBU abschneidet. Die Wertung fasst die Gesamtwertungen der folgenden KPIs zusammen:</p><ul><li>Reichweite KPI</li><li>Engagement KPI</li><li>Qualitäts KPI</li></ul>"
